14/11/52,HERE IN MY HEART,9
16/01/53,YOU BELONG TO ME,1
23/01/53,COMES A-LONG A-LOVE,1
30/01/53,OUTSIDE OF HEAVEN,1
06/02/53,DON'T LET THE STARS GET IN YOUR EYES,5
13/03/53,SHE WEARS RED FEATHERS,4
10/04/53,BROKEN WINGS,1
17/04/53,(HOW MUCH IS) THAT DOGGIE IN THE WINDOW,1
24/04/53,I BELIEVE,9
26/06/53,I'M WALKING BEHIND YOU,1
03/07/53,I BELIEVE,6
14/08/53,THE SONG FROM MOULIN ROUGE,1
21/08/53,I BELIEVE,3
11/09/53,LOOK AT THAT GIRL,6
23/10/53,HEY JOE,2
06/11/53,ANSWER ME,1
13/11/53,ANSWER ME,8
11/12/53,ANSWER ME,1
08/01/54,OH MEIN PAPA,9
12/03/54,I SEE THE MOON,5
16/04/54,SECRET LOVE,1
23/04/54,I SEE THE MOON,1
30/04/54,SUCH A NIGHT,1
08/05/54,SECRET LOVE,8
02/07/54,CARA MIA,10
10/09/54,LITTLE THINGS MEAN A LOT,1
17/09/54,THREE COINS IN THE FOUNTAIN,3
08/10/54,HOLD MY HAND,4
05/11/54,MY SON MY SON,2
19/11/54,HOLD MY HAND,1
26/11/54,THIS OLE HOUSE,1
03/12/54,LET'S HAVE ANOTHER PARTY,5
07/01/55,FINGER OF SUSPICION,1
14/01/55,MAMBO ITALIANO,1
21/01/55,FINGER OF SUSPICION,2
04/02/55,MAMBO ITALIANO,2
18/02/55,"SOFTLY, SOFTLY",3
11/03/55,GIVE ME YOUR WORD,7
29/04/55,CHERRY PINK AND APPLE BLOSSOM WHITE,2
13/05/55,STRANGER IN PARADISE,2
27/05/55,CHERRY PINK AND APPLE BLOSSOM WHITE,4
24/06/55,UNCHAINED MELODY,3
15/07/55,DREAMBOAT,2
29/07/55,ROSE MARIE,11
14/10/55,THE MAN FROM LARAMIE,4
11/11/55,HERNANDO'S HIDEAWAY,2
25/11/55,ROCK AROUND THE CLOCK,3
16/12/55,CHRISTMAS ALPHABET,3
06/01/56,ROCK AROUND THE CLOCK,3
20/01/56,SIXTEEN TONS,2
17/02/56,MEMORIES ARE MADE OF THIS,4
16/03/56,IT'S ALMOST TOMORROW,2
